"text","spam"
"Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantaqes over viagra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohol ! we ship to any country !  get it riqht now ! . ",1
"Subject: 70 percent off your life insurance get a free quote instantly .  question :  are you paying too much for life insurance ?  most  likely the answer is yes !  here ' s why . fact . . . fierce , take no prisoner , insurance industry  price wars have driven down  premiums  - 30 - 40 - 50 - even 70 % from where they were just a short time ago !  that ' s why your insurance company doesn ' t want you to read this . . .  they will continue to take your money at the price they are already charging  you , while offering the new lower rates ( up to 50 % , even 70 % lower ) to  their new buyers only .  but , don ' t take our word for it . . . click  hereand request a free online quote . be prepared for a  real shock when you see just how inexpensively you can buy term life insurance  for today !  removal  instructions : this message is sent in compliance with the proposed bill  section 301 , paragraph ( a ) ( 2 ) ( c ) of s . 1618 . we obtain our list data from  a variety of online sources , including opt - in lists . this email is sent  by a direct email marketing firm on our behalf , and if you would rather  not receive any further information from us , please click  here . in this way , you can instantly opt - out from the list  your email address was obtained from , whether this was an opt - in  or otherwise . please accept our apologies if this message has reached you  in error . please allow 5 - 10 business days for your email address to be removed  from all lists in our control . meanwhile , simply delete any duplicate emails  that you may receive and rest assured that your request to be taken off  this list will be honored . if you have previously requested to be taken  off this list and are still receiving this message , you may call us at 1 - ( 888 )  817 - 9902 , or write to us at : abuse control center , 7657 winnetka ave . , canoga  park , ca 91306 ",1
"Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciails has a iot of advantaqes over viaqra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with aicohol ! we ship to any country !  get it riqht now ! . ",1
"Subject: lose 20 pounds in 10 days 27540  lose weight fast , without special diets or expensive foods  no starving yourself !  if you are tired of starvation diets , body wraps , fad diets , grueling exercise , or hypnosis to lose weight then you have just made the best choice of your life by  reading this email !  we ' re not kidding , and as you will see we back it up with our lifetime money - back guarantee !  new ! extreme power plus - proven  weight loss system -  for more details or to order now click our url ! http : / / loseweightfast ! / ad . html  some browsers do not  accept hyperlinks , so if the above link does not work , cut paste  it in your browser ' s url box .  lifetime money back guarantee ! it ' s almost to good to be true ! extreme power plus is here just in time ! order  today get free shipping * ! ! !  click  here http : / / loseweightfast ! / ad . html  as with all dietary supplements or exercise program , please consult your physician for their advice .  * note : on orders of 3 bottles or more only ( us  orders only ) .  you  are receiving this special offer because you have provided  permission to receive email communications regarding special  online promotions or offers . to discontinue any further messages  from this company , please click  here to unsubscribe from our mailing list ",1
"Subject: from brand names to generics , from overexpenditures to great sav . vings .  with a tight budget , can you gain effective alleviations ? there are a lot of  vvays to help you out .  require quality curatives on mild to severepain , sleepingdisorder ,  menscare , womenscare , overvveight or other afflictions ? uncover the finest  offerings .  our medzone has a better option for sh . oppers . with our range of generic  equivalent , it is easier to gain the mitigations .  brovvse our collections if you do vvant to sa . ve on medicaments .  the latest info . about the shipments will be shovvn in real . time .  vov ! lead you to simple sav . vings .  briar , whil their uprightness ; protesting that she was convinced of sailors  having  and nearly turning his back to them all , was engrossed by writing .  e i was sent in to ge t my tea . when he was gone , m  y mother as more worth and warmth than any other set of men in england ;  ked me all about the day i 1 had had , and what 7 they had said and done .  i men tioned what they had said a",1
"Subject: are you ready to get it ?  hello !  viagra is the # 1 med to struggle with mens ' erectile dysfunction .  like one jokes sais , it is strong enouqh for a man , but made for a woman ; - )  ordering viagra online is a very convinient , fast and secure way !  miiiions of people do it daily to save their privacy and money  order here . . . ",1
"Subject: shopping for software ? now in your language & currency !  microsoft and ibm oem software for bundling only and other related software .  how to make god laugh : tell him your future plans .  experience consists of experiencing that which one does not wish to experience",1
"Subject: breathtaking image for your company now  working on your company ' s image ? start with a  visual identity a key to the first good impression . we are here to  help you ! we ' ll take part in buildinq a positive visuai imaqe  of your company by creatinq an outstanding logo , presentabie stationery  items and professionai website . these marketing tools wiii siqnificantly  contributeto success of your business . take a look at our work samples , hot deai packaqes and  see what we have to offer . we work for you !  _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: do not settle for less than a rolex .  italian crafted rolex from $ 75 to $ 275 - free shipping  http : / / revamp . fcke . com / repli / dir /  it is easy to be brave from a safe distance .  the multitude of books is making us ignorant .  it is better to be envied than pitied .  no bird soars too high if he soars with his own wings .",1
"Subject: ke casino spring fling competition : ) fre : rpvnltb  welcome to ms @ casino - a revolution in cyber gamlng !  ms @ casino establishes a turning point in casino history by  uniquely allowing players worldwide to play as dealer thus  receiving some of the most favorable odds normally reserved for  the casino .  ms @ casino offers popular games , including black - jack , roullette ,  slot machines and video poker all featuring unmatched graphics and sounds .  you may play with real money or just play for fun ( no bank details needed )  questions and answers  - - - - - - - - - - - - - - - - - - - -  q : ms @ casino offers matchless credibility and it ' s easy to check . how ?  a : robert as player and graham as dealer enter one of the games . once the game  is over , they verify that one ' s losing sum is the other ' s winning sum .  q : ms @ casino offers the highest payouts available . how is that possible ?  a : payouts are constant in games like blackjack and roulette ( and for all  games with the same rules ) . ms @ casino ' s unique concept allows players to  become the dealer , which improves their winning odds , thus bo 0 sting  their payout rates .  the top daily player ( determined at 23 : 59 ) gets $ 200 bonus !  winnings generated from playing as dealer are also accumulated .  the scoreboard will be updated every hour .  visit our site http : / / 4 highrollers . net - try your luck no deposit required !  best regards ,  virginia hancock  casino manager ",1
"Subject: a 1 time charge add your property / services no additional annual  membership fees to our vacation guide  our vacation requests have grown in your region . we are offering this special membership . a 1 time setup fee no additional annual charges .  your membership includes all of this . username and password access for unlimited editing of text and pictures . 4 color pictures . direct email link , homeowners web site url as well as availability link and hit counter . you can search our listings by country , state / province , city / region or you can search by category . your price is $ 85 . 00 this membership is good for as long as you own the property . no additional charges or fees . "" lifetime of ownership ""  we are getting many vacation requests for your region . please take advantage of this special offer for the next 100 owners who sign up and pay for the membership . you can see our site . http : / / www . . net  all you have to do is click on membership top right hand corner follow the procedure and select "" see special "" the lifetime option when you enter your info .  if you have any questions . info @ . net  dave staff  mvwin po box 2896 edgartown , ma 02539 this e - mail message is an advertisement and / or solicitation .",1
"Subject: localized software , all languages available .  hello , we would like to offer localized software versions ( german , french , spanish , uk , and many others ) .  ail listed software is availabie for immediate downioad !  no need to wait 2 - 3 week for cd delivery !  just few examples :  - norton lnternet security pro 2005 - $ 29 . 95  - windows xp professional with sp 2 fuli version - $ 59 . 95  - corei draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 includinq ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native language !  best reqards ,  lyndsey ",1
"Subject: anti - aging that works . no more botox  no more painful botox sessions . . .  we have the botox replacement cream is stokc !  this is the same cream used by celebrities worldwide to replace botox injections . tom cruise , gisele bundchen , britney spears , nicole kidman . . .  you ' re a beautiful person , you use expensive creams , maybe you even use ours . . . but here you can seva 70 % .  so , stop the pain now ! replace botox now !  3 days worldwide dlelivery  http : / / www . botoxforless . info",1
"Subject: you don ' t satisfy me fgtpril  a man endowed with a 7 - 8 "" hammer is simply  better equipped than a man with a 5 - 6 "" hammer .  would you rather havemore than enough to get the job done or fall very short . it ' s totally upto you . our methods are guaranteed to increase your size by 1 - 3 "" enter here and see how ",1
"Subject: application was accepted . confirm results  we tried to contact you last week about refinancing your home at a lower rate .  i would like to inform you know that you have been pre - approved .  here are the results :  * account id : [ 698 - 184 ]  * negotiable amount : $ 125 , 063 to $ 692 , 879  * rate : 3 . 40 % - 5 . 33 %  please fill out this quick form and we will have a broker contact you as soon as possible .  regards ,  adolfo stanley  senior account manager  prime lenders , inc .  database deletion :  http : / / www . mon - nowz . net / r . php ",1
"Subject: workss good  want to know how to save over overrode 60 % on your piils ?  http : / / ww smoothfaced w . centralreal . com - successfull and proven way livable to sa valuer ve your money .  tuberculin v  a vermouth g  corporal al  l circlet u  jailbird l  r wellboring a ostrogoth cl  descale isva verity l  research m  andmanyother .  b recant est prlces .  high quaiity unspoilt .  worldwide shlppln inferno g .  total confidenti galoot aiity .  250 . 000 + satisfied custome cactus rs .  have a sprocketwheel nice day !",1
"Subject: mcle seminars  click  here  to be removed from our email list .  july  6 - 7 , 2002  cost : $ 795 *  held at the hilton waikola village , hawaii  register and pay by may 31 and recieve 10 % off ! ( $ 715 . 50 )  * air ,  hotel , and activities not included  the  presentation was extremely informative and entertaining .  fun  for the whole family . . . a great reason to take a vacation !  * * * *  limited space available  * * * *  hours  includes  12 . 5 hours of participatory :  6 . 0  ethics  3 . 0  substance  abuse  1 . 5  emotional  distress  1 . 0  elimination  of bias in the legal profession  1 . 0  general  legal education  audio materials for remaining mcle  credits will be available at the seminar .  brought  to you by :  bar  approved curriculum  approved  by arizona , arkansas , california , georgia , idaho , iowa ,  kansas , louisiana , maine , missouri , montana , nevada ,  new hampshire , new mexico , north carolina , north dakota ,  oregon , pennsylvania , south carolina , tennesee , texas ,  utah , virginia , washington state , and wisconsin bar  associations . approval pending for alabama and minnesota .  call  attorney connections at ( 800 )  221 - 8424  to reserve your package today !  or :  click here to print the reservation form and fax to ( 760 )  731 - 7785 ; or  mail to : attorney connections , p . o . box 1533 , bonsall , ca  92003 ",1
"Subject: failure notice  hi . this is the qmail - send program at bouncehost .  i ' m afraid i wasn ' t able to deliver your message to the following addresses .  this is a permanent error ; i ' ve given up . sorry it didn ' t work out .  :  sorry , no mailbox here by that name . vpopmail ( # 5 . 1 . 1 )  - - - enclosed are the original headers of the message .",1
"Subject: returned mail : see transcript for details  the original message was received at tue , 19 jul 2005 12 : 57 : 50 + 0200  from [ 218 . 159 . 229 . 14 ]  - - - - - the following addresses had permanent fatal errors - - - - -  - - - - - transcript of session follows - - - - -  554 5 . 0 . 0 username or alias unknown  550 5 . 1 . 1 . . . user unknown",1
